drug_name,condition,review,cleaned_review
Albuterol,Asthma,Works well for my asthma but I sometimes experience jitteriness and increased heart rate,works well for my asthma but i sometimes experience jitteriness and increased heart rate
Albuterol,Asthma,Helps with asthma but can cause mild jitteriness,helps with asthma but can cause mild jitteriness
Albuterol,Asthma,Helps with asthma but I occasionally feel jittery after using it,helps with asthma but i occasionally feel jittery after using it
Albuterol,Asthma,Relieves my asthma symptoms quickly but can cause a bit of shakiness,relieves my asthma symptoms quickly but can cause a bit of shakiness
Albuterol,Asthma,Quick relief for my asthma attacks but it makes my heart race sometimes,quick relief for my asthma attacks but it makes my heart race sometimes
Albuterol,Asthma,Good for asthma attacks but gives me jitters and a dry throat,good for asthma attacks but gives me jitters and a dry throat
Albuterol,Asthma,Great for asthma relief but makes me feel jittery and gives me a racing heart,great for asthma relief but makes me feel jittery and gives me a racing heart
Albuterol,Asthma,Works well for asthma attacks but it can cause a fast heart rate,works well for asthma attacks but it can cause a fast heart rate
Albuterol,Asthma,Helps with asthma symptoms but can cause a racing heart,helps with asthma symptoms but can cause a racing heart
Albuterol,Asthma,Helps with my asthma but I get a slight headache after using it,helps with my asthma but i get a slight headache after using it
Albuterol,Asthma,Works well for asthma attacks but can cause some jitteriness,works well for asthma attacks but can cause some jitteriness
Albuterol,Asthma,Works well for asthma attacks but sometimes makes me feel shaky,works well for asthma attacks but sometimes makes me feel shaky
Albuterol,Asthma,Provides immediate relief from asthma attacks but makes my heart race a little,provides immediate relief from asthma attacks but makes my heart race a little
Albuterol,Asthma,Relieves my wheezing quickly but I feel shaky afterward,relieves my wheezing quickly but i feel shaky afterward
Albuterol,Asthma,Opens up my lungs quickly but sometimes I feel jittery,opens up my lungs quickly but sometimes i feel jittery
Albuterol,Asthma,Great for asthma attacks but my heart races sometimes,great for asthma attacks but my heart races sometimes
Albuterol,Asthma,Quick relief for asthma attacks but shakes my hands a little,quick relief for asthma attacks but shakes my hands a little
Albuterol,Asthma,Effective during asthma attacks but I sometimes overuse it,effective during asthma attacks but i sometimes overuse it
Albuterol,Asthma,Great for relieving asthma symptoms but sometimes I feel jittery,great for relieving asthma symptoms but sometimes i feel jittery
Albuterol,Asthma,Quick relief for asthma but it makes my heart race slightly,quick relief for asthma but it makes my heart race slightly
Albuterol,Asthma,Helps me breathe during attacks but causes mild jitteriness,helps me breathe during attacks but causes mild jitteriness
Albuterol,Asthma,Instant relief from asthma symptoms No complaints so far,instant relief from asthma symptoms no complaints so far
Albuterol,Asthma,Quick relief for asthma but can cause a racing heart,quick relief for asthma but can cause a racing heart
Alendronate,Osteoporosis,Helps with my bone health but causes some digestive discomfort,helps with my bone health but causes some digestive discomfort
Alendronate,Osteoporosis,Improved my bone density but gives mild nausea,improved my bone density but gives mild nausea
Alendronate,Osteoporosis,Helps strengthen bones but causes heartburn if not taken properly,helps strengthen bones but causes heartburn if not taken properly
Alendronate,Osteoporosis,Strengthens my bones but I had some stomach discomfort,strengthens my bones but i had some stomach discomfort
Alendronate,Osteoporosis,Improved my bone density but I had some initial stomach discomfort,improved my bone density but i had some initial stomach discomfort
Alendronate,Osteoporosis,Strengthens my bones but Ive experienced some stomach upset,strengthens my bones but ive experienced some stomach upset
Allopurinol,Gout,Helps prevent gout attacks but can cause some stomach upset,helps prevent gout attacks but can cause some stomach upset
Allopurinol,Gout,Works for gout pain relief but can cause a rash,works for gout pain relief but can cause a rash
Allopurinol,Gout,Helps prevent gout attacks but causes some rashes,helps prevent gout attacks but causes some rashes
Allopurinol,Gout,Prevents my gout attacks but I feel a bit nauseous,prevents my gout attacks but i feel a bit nauseous
Allopurinol,Gout,Helps prevent gout flareups but makes me a bit nauseous,helps prevent gout flareups but makes me a bit nauseous
Allopurinol,Gout,Helps prevent gout attacks but causes some stomach upset,helps prevent gout attacks but causes some stomach upset
Allopurinol,Gout,Helps prevent gout flareups but causes some nausea,helps prevent gout flareups but causes some nausea
Allopurinol,Gout,Helps with my gout flareups but causes some mild rash and stomach discomfort,helps with my gout flareups but causes some mild rash and stomach discomfort
Allopurinol,Gout,Helps with gout prevention but I sometimes experience mild stomach pain,helps with gout prevention but i sometimes experience mild stomach pain
Allopurinol,Gout,Helps control my gout attacks but can cause some nausea,helps control my gout attacks but can cause some nausea
Alprazolam,Anxiety,Excellent for anxiety relief but can be habitforming,excellent for anxiety relief but can be habitforming
Ambien,Insomnia,Helps me sleep soundly but I feel groggy in the morning,helps me sleep soundly but i feel groggy in the morning
Ambien,Insomnia,Works well for sleep but I felt groggy in the morning,works well for sleep but i felt groggy in the morning
Ambien,Insomnia,Works well for sleep but I sometimes feel groggy the next day,works well for sleep but i sometimes feel groggy the next day
Ambien,Insomnia,Helps me sleep soundly though I sometimes feel groggy the next morning,helps me sleep soundly though i sometimes feel groggy the next morning
Ambien,Insomnia,Helps me sleep but it makes me feel groggy in the morning,helps me sleep but it makes me feel groggy in the morning
Ambien,Insomnia,Helps me sleep but I often feel groggy the next morning,helps me sleep but i often feel groggy the next morning
Ambien,Insomnia,Works well for falling asleep quickly but I feel drowsy the next morning sometimes,works well for falling asleep quickly but i feel drowsy the next morning sometimes
Amiodarone,Heart Arrhythmia,Helps control my heart rhythm but I have some thyroid issues,helps control my heart rhythm but i have some thyroid issues
Amitriptyline,Depression,Helps with my depression but makes me feel a little sleepy during the day,helps with my depression but makes me feel a little sleepy during the day
Amitriptyline,Migraine Prevention,Reduces migraines significantly but causes dry mouth,reduces migraines significantly but causes dry mouth
Amitriptyline,Depression,Effective for my depression but I feel tired throughout the day,effective for my depression but i feel tired throughout the day
Amitriptyline,Depression,Effective for my depression but I feel excessively sleepy during the day,effective for my depression but i feel excessively sleepy during the day
Amitriptyline,Depression,Helps manage my depression but I feel sleepy during the day,helps manage my depression but i feel sleepy during the day
Amitriptyline,Depression,Helps with depression but I feel very tired during the day,helps with depression but i feel very tired during the day
Amitriptyline,Depression,Helps with my depression but makes me feel a bit sluggish,helps with my depression but makes me feel a bit sluggish
Amlodipine,High Blood Pressure,Controls my blood pressure well but causes some swelling,controls my blood pressure well but causes some swelling
Amlodipine,High Blood Pressure,Works well for lowering blood pressure but I feel more tired than usual,works well for lowering blood pressure but i feel more tired than usual
Amlodipine,High Blood Pressure,Keeps my BP in check but causes swelling in my feet,keeps my bp in check but causes swelling in my feet
Amlodipine,High Blood Pressure,Keeps my BP stable with minimal side effects,keeps my bp stable with minimal side effects
Amlodipine,High Blood Pressure,Works well for lowering blood pressure but I feel a bit fatigued and swollen,works well for lowering blood pressure but i feel a bit fatigued and swollen
Amlodipine,Hypertension,Lowers my blood pressure but causes some swelling in my ankles,lowers my blood pressure but causes some swelling in my ankles
Amlodipine,High Blood Pressure,Helps control BP but I feel a bit dizzy occasionally,helps control bp but i feel a bit dizzy occasionally
Amlodipine,High Blood Pressure,Keeps my blood pressure stable but I sometimes experience swelling in my legs,keeps my blood pressure stable but i sometimes experience swelling in my legs
Amlodipine,High Blood Pressure,Lowers my BP well but Ive experienced some swelling in my ankles,lowers my bp well but ive experienced some swelling in my ankles
Amlodipine,High Blood Pressure,Keeps my blood pressure stable but causes some ankle swelling,keeps my blood pressure stable but causes some ankle swelling
Amlodipine,High Blood Pressure,Helps with blood pressure but I feel a bit dizzy sometimes,helps with blood pressure but i feel a bit dizzy sometimes
Amlodipine,High Blood Pressure,Good for controlling blood pressure but Ive had some swelling in my ankles,good for controlling blood pressure but ive had some swelling in my ankles
Amlodipine,High Blood Pressure,Helps with blood pressure but I feel a little tired after taking it,helps with blood pressure but i feel a little tired after taking it
Amlodipine,High Blood Pressure,Lowers blood pressure well but causes some swelling in my ankles,lowers blood pressure well but causes some swelling in my ankles
Amlodipine,High Blood Pressure,Keeps my blood pressure in control but it sometimes causes mild swelling in my feet,keeps my blood pressure in control but it sometimes causes mild swelling in my feet
Amlodipine,High Blood Pressure,Helps manage my blood pressure with no side effects,helps manage my blood pressure with no side effects
Amlodipine,High Blood Pressure,Keeps my pressure in control but I feel slightly dizzy,keeps my pressure in control but i feel slightly dizzy
Amoxicillin,Bacterial Infection,Cleared my infection quickly but I had some stomach upset,cleared my infection quickly but i had some stomach upset
Amoxicillin,Infection,Effective for treating infections but causes a mild upset stomach,effective for treating infections but causes a mild upset stomach
Amoxicillin,Infection,Great for infections but causes mild stomach upset,great for infections but causes mild stomach upset
Amoxicillin,Ear Infection,Cleared up my ear infection but gave me some mild stomach issues,cleared up my ear infection but gave me some mild stomach issues
Amoxicillin,Bacterial Infections,Cleared my infection well but upset my stomach slightly,cleared my infection well but upset my stomach slightly
Amoxicillin,Bacterial Infection,Cleared up my infection quickly but caused some mild diarrhea,cleared up my infection quickly but caused some mild diarrhea
Amoxicillin,Infection,Cleared up my infection quickly but it caused some mild stomach discomfort,cleared up my infection quickly but it caused some mild stomach discomfort
Amoxicillin,Bacterial Infections,Clears infections fast but upsets my stomach,clears infections fast but upsets my stomach
Amoxicillin,Sinus Infection,Cleared my infection quickly but I had mild diarrhea,cleared my infection quickly but i had mild diarrhea
Amoxicillin,Infection,Great for treating infections but causes mild stomach upset,great for treating infections but causes mild stomach upset
Amoxicillin,Infection,Cured my infection fast but caused mild stomach upset,cured my infection fast but caused mild stomach upset
Amoxicillin,Infection,Cleared my infection but Ive had mild diarrhea,cleared my infection but ive had mild diarrhea
Amoxicillin,Infection,Works great for infections but causes some mild nausea,works great for infections but causes some mild nausea
Amphetamine,ADHD,Helps me focus but gives me headaches,helps me focus but gives me headaches
Anoro,COPD,My breathing improved quickly and I can now do daily activities with ease,my breathing improved quickly and i can now do daily activities with ease
Antivert,Motion Sickness,Helps with motion sickness but makes me feel drowsy and a bit slow,helps with motion sickness but makes me feel drowsy and a bit slow
Aranesp,Anemia,Helped improve my anemia though it caused some joint pain,helped improve my anemia though it caused some joint pain
Aricept,Alzheimer's Disease,Improves memory and cognitive function noticeably but some mild dizziness,improves memory and cognitive function noticeably but some mild dizziness
Aricept,Alzheimer's,Helps with memory but can cause nausea at times,helps with memory but can cause nausea at times
Aricept,Alzheimer's,Improved my memory and focus though I feel light nausea at times,improved my memory and focus though i feel light nausea at times
Aricept,Alzheimer’s Disease,Improved memory retention noticeably but I feel some stomach upset,improved memory retention noticeably but i feel some stomach upset
Aricept,Alzheimer’s Disease,Improved memory and focus slightly for my dad Mild nausea occurred,improved memory and focus slightly for my dad mild nausea occurred
Aricept,Alzheimer’s Disease,Improves memory slightly though I noticed mild nausea,improves memory slightly though i noticed mild nausea
Arimidex,Breast Cancer,Effective at preventing recurrence but I experience joint pain,effective at preventing recurrence but i experience joint pain
Arimidex,Breast Cancer,Helps prevent recurrence effectively but causes mild joint pain,helps prevent recurrence effectively but causes mild joint pain
Aripiprazole,Schizophrenia,Helps manage symptoms but I sometimes feel jittery,helps manage symptoms but i sometimes feel jittery
Aripiprazole,Schizophrenia,Helps manage symptoms but I feel a little jittery and restless,helps manage symptoms but i feel a little jittery and restless
Aripiprazole,Schizophrenia,Helps manage my symptoms well but I feel slightly restless sometimes,helps manage my symptoms well but i feel slightly restless sometimes
Aripiprazole,Schizophrenia,Helps with my condition but causes some drowsiness and dizziness,helps with my condition but causes some drowsiness and dizziness
Aripiprazole,Schizophrenia,Helps with symptoms but I feel restless sometimes,helps with symptoms but i feel restless sometimes
Aripiprazole,Schizophrenia,Helps with symptoms but sometimes makes me feel drowsy,helps with symptoms but sometimes makes me feel drowsy
Aripiprazole,Schizophrenia,Improves my symptoms but I feel restless at times,improves my symptoms but i feel restless at times
Aripiprazole,Bipolar Disorder,Great for managing bipolar symptoms but I do feel a little restless sometimes,great for managing bipolar symptoms but i do feel a little restless sometimes
Armodafinil,Narcolepsy,Helps with staying awake but I get a headache occasionally,helps with staying awake but i get a headache occasionally
Asacol,Ulcerative Colitis,Helps control flareups but I sometimes experience stomach cramps,helps control flareups but i sometimes experience stomach cramps
Aspirin,Pain Relief,The drug worked well for my headaches but I had some mild stomach pain after taking it,the drug worked well for my headaches but i had some mild stomach pain after taking it
Aspirin,Pain Relief,Good for pain relief but can cause stomach irritation,good for pain relief but can cause stomach irritation
Aspirin,Pain Relief,Good for pain but sometimes irritates my stomach,good for pain but sometimes irritates my stomach
Atenolol,High Blood Pressure,Helps keep my blood pressure under control but I feel a bit fatigued sometimes,helps keep my blood pressure under control but i feel a bit fatigued sometimes
Atenolol,Hypertension,Helps keep my blood pressure down but makes me feel tired sometimes,helps keep my blood pressure down but makes me feel tired sometimes
Atenolol,High Blood Pressure,Great for blood pressure but causes me to feel tired,great for blood pressure but causes me to feel tired
Ativan,Anxiety,Helps me manage anxiety but it makes me feel tired the next day,helps me manage anxiety but it makes me feel tired the next day
Ativan,Anxiety,Reduces anxiety quickly but I feel drowsy afterward,reduces anxiety quickly but i feel drowsy afterward
Ativan,Anxiety,Great for occasional anxiety relief but not ideal for daily use,great for occasional anxiety relief but not ideal for daily use
Ativan,Anxiety,Works well for anxiety but sometimes I feel a bit foggy after taking it,works well for anxiety but sometimes i feel a bit foggy after taking it
Ativan,Anxiety,Helps with anxiety but it sometimes makes me feel groggy,helps with anxiety but it sometimes makes me feel groggy
Ativan,Anxiety,Helps with anxiety but I feel a bit tired afterward,helps with anxiety but i feel a bit tired afterward
Ativan,Anxiety,Reduces my anxiety effectively but I feel drowsy,reduces my anxiety effectively but i feel drowsy
Ativan,Anxiety,Works well to reduce anxiety but makes me feel slightly drowsy,works well to reduce anxiety but makes me feel slightly drowsy
Ativan,Anxiety,Helped me stay calm during stressful situations Works quickly,helped me stay calm during stressful situations works quickly
Atorvastatin,High Cholesterol,Effective for lowering cholesterol but sometimes gives me muscle aches,effective for lowering cholesterol but sometimes gives me muscle aches
Atorvastatin,High Cholesterol,Effective at lowering cholesterol but causes mild headaches,effective at lowering cholesterol but causes mild headaches
Atorvastatin,High Cholesterol,Helps lower cholesterol but causes muscle aches and fatigue,helps lower cholesterol but causes muscle aches and fatigue
Atorvastatin,High Cholesterol,Lowers cholesterol well but I have mild muscle pain sometimes,lowers cholesterol well but i have mild muscle pain sometimes
Atorvastatin,High Cholesterol,Lowers cholesterol effectively but gives me muscle pain after longterm use,lowers cholesterol effectively but gives me muscle pain after longterm use
Atorvastatin,High Cholesterol,Lowered my cholesterol but caused muscle aches,lowered my cholesterol but caused muscle aches
Atorvastatin,High Cholesterol,Good for lowering cholesterol but causes muscle pain,good for lowering cholesterol but causes muscle pain
Atorvastatin,High Cholesterol,Lowers cholesterol but gives me muscle aches and fatigue,lowers cholesterol but gives me muscle aches and fatigue
Atorvastatin,High Cholesterol,Keeps my cholesterol low but my muscles ache occasionally,keeps my cholesterol low but my muscles ache occasionally
Atorvastatin,High Cholesterol,Lowers cholesterol well but I have muscle aches and feel fatigued,lowers cholesterol well but i have muscle aches and feel fatigued
Atorvastatin,High Cholesterol,Lowers my cholesterol effectively but Ive noticed muscle aches,lowers my cholesterol effectively but ive noticed muscle aches
Atorvastatin,Cholesterol,Lowers cholesterol well but Ive had some muscle pain and occasional fatigue,lowers cholesterol well but ive had some muscle pain and occasional fatigue
Atorvastatin,High Cholesterol,Lowers my cholesterol effectively but makes my muscles sore,lowers my cholesterol effectively but makes my muscles sore
Atorvastatin,High Cholesterol,Very effective for lowering cholesterol but Ive had some muscle pain,very effective for lowering cholesterol but ive had some muscle pain
Atorvastatin,High Cholesterol,Lowers cholesterol well but gives me muscle pain,lowers cholesterol well but gives me muscle pain
Atorvastatin,High Cholesterol,Keeps my cholesterol levels in check but I sometimes experience muscle soreness,keeps my cholesterol levels in check but i sometimes experience muscle soreness
Atorvastatin,High Cholesterol,Lowered cholesterol but caused mild fatigue,lowered cholesterol but caused mild fatigue
Atripla,HIV,Helps manage my viral load effectively though I feel dizzy occasionally,helps manage my viral load effectively though i feel dizzy occasionally
Avodart,Enlarged Prostate,Reduced prostate symptoms effectively though I noticed mild dizziness,reduced prostate symptoms effectively though i noticed mild dizziness
Azithromycin,Bacterial Infections,Cleared my infection quickly but caused some stomach upset,cleared my infection quickly but caused some stomach upset
Azithromycin,Infection,Worked quickly for my infection but caused some stomach cramps,worked quickly for my infection but caused some stomach cramps
Azithromycin,Bacterial Infection,Cleared my infection fast but I had mild diarrhea,cleared my infection fast but i had mild diarrhea
Azithromycin,Bacterial Infections,Worked quickly for my infection but upset my stomach slightly,worked quickly for my infection but upset my stomach slightly
Azithromycin,Infection,Cleared up my infection but I felt a little nauseous,cleared up my infection but i felt a little nauseous
Azithromycin,Infection,Cleared up my infection but I felt a bit nauseous,cleared up my infection but i felt a bit nauseous
Azithromycin,Infection,Cleared up my infection quickly but caused some nausea,cleared up my infection quickly but caused some nausea
Azithromycin,Bacterial Infections,Cleared up my infection quickly but left me with some nausea,cleared up my infection quickly but left me with some nausea
Azithromycin,Respiratory Infection,Cleared up my respiratory infection but caused some mild stomach cramps,cleared up my respiratory infection but caused some mild stomach cramps
Azithromycin,Bacterial Infections,Cleared my infection quickly but gave me mild diarrhea,cleared my infection quickly but gave me mild diarrhea
Azithromycin,Sinus Infection,Cleared up my sinus infection quickly but caused some mild stomach discomfort,cleared up my sinus infection quickly but caused some mild stomach discomfort
Azithromycin,Respiratory Infection,Cleared up my respiratory infection fast but caused some GI discomfort,cleared up my respiratory infection fast but caused some gi discomfort
Azithromycin,Bacterial Infection,Effective for infection but causes some stomach discomfort,effective for infection but causes some stomach discomfort
Azithromycin,Infection,Worked great for my infection but left me feeling nauseous,worked great for my infection but left me feeling nauseous
Baclofen,Muscle Spasms,Good for muscle spasms but leaves me feeling a bit drowsy,good for muscle spasms but leaves me feeling a bit drowsy
Baclofen,Muscle Spasms,Relieves my spasms but I feel very drowsy,relieves my spasms but i feel very drowsy
Baclofen,Muscle Spasms,Helps with muscle spasms but causes some drowsiness and fatigue,helps with muscle spasms but causes some drowsiness and fatigue
Baclofen,Muscle Spasms,Eases my spasms but I feel drowsy,eases my spasms but i feel drowsy
Bactrim,Bacterial Infection,Cleared my infection quickly but I had some mild nausea,cleared my infection quickly but i had some mild nausea
Bactrim,Bacterial Infection,Cleared up my infection quickly but it gave me a mild rash,cleared up my infection quickly but it gave me a mild rash
Bactrim,Infection,Works well for infections but caused an allergic reaction,works well for infections but caused an allergic reaction
Bactrim,Infection,Cleared up my UTI fast but I experienced some nausea,cleared up my uti fast but i experienced some nausea
Benadryl,Allergies,Works well for allergies but makes me really drowsy,works well for allergies but makes me really drowsy
Benicar,High Blood Pressure,Lowers my blood pressure but I feel a little lightheaded sometimes,lowers my blood pressure but i feel a little lightheaded sometimes
Betaseron,Multiple Sclerosis,Slows disease progression effectively though the injections can be painful,slows disease progression effectively though the injections can be painful
Biktarvy,HIV,Helps keep my HIV under control but I did experience some nausea and dizziness at first,helps keep my hiv under control but i did experience some nausea and dizziness at first
Biktarvy,HIV,Effective in controlling HIV but it caused mild nausea at first,effective in controlling hiv but it caused mild nausea at first
Biktarvy,HIV,Keeps my HIV under control but I experience occasional headaches,keeps my hiv under control but i experience occasional headaches
Bisoprolol,Hypertension,Keeps my BP under control but I feel tired,keeps my bp under control but i feel tired
Bisoprolol,High Blood Pressure,Lowers my blood pressure but causes some dizziness,lowers my blood pressure but causes some dizziness
Boniva,Osteoporosis,Increased my bone strength over time I had some nausea initially,increased my bone strength over time i had some nausea initially
Boniva,Osteoporosis,Improves bone density effectively though I experienced mild back pain,improves bone density effectively though i experienced mild back pain
Botox,Migraine,Has significantly reduced the frequency of my migraines but its a bit expensive,has significantly reduced the frequency of my migraines but its a bit expensive
Botox,Chronic Migraine,Prevents migraines effectively though injections are uncomfortable,prevents migraines effectively though injections are uncomfortable
Budesonide,Asthma,Helps with asthma but I had a mild sore throat from the inhaler,helps with asthma but i had a mild sore throat from the inhaler
Budesonide,Asthma,Works well for asthma but I feel a little jittery sometimes,works well for asthma but i feel a little jittery sometimes
Bupropion,Depression,Lifts my mood but Ive had some trouble sleeping,lifts my mood but ive had some trouble sleeping
Bupropion,Depression,Helps with my depression and energy levels but can cause some anxiety,helps with my depression and energy levels but can cause some anxiety
Bupropion,Depression,Great for depression but causes some anxiety,great for depression but causes some anxiety
Bupropion,Depression,Has worked well for my depression but it can make me feel a bit anxious,has worked well for my depression but it can make me feel a bit anxious
Bupropion,Depression,Works great for depression but makes me feel jittery at times,works great for depression but makes me feel jittery at times
Bupropion,Depression,Helps improve my mood but I feel a little jittery at times,helps improve my mood but i feel a little jittery at times
Bupropion,Depression,Improved my mood but caused some jitteriness,improved my mood but caused some jitteriness
Bupropion,Depression,Helped with my depression but caused some dry mouth,helped with my depression but caused some dry mouth
Bupropion,Depression,Improves my mood but I sometimes feel a bit jittery,improves my mood but i sometimes feel a bit jittery
Bupropion,Depression,Helps with depression but I sometimes feel a bit anxious,helps with depression but i sometimes feel a bit anxious
Bupropion,Depression,Helps with mood but gives me a dry mouth and can be stimulating,helps with mood but gives me a dry mouth and can be stimulating
Bupropion,Depression/Smoking Cessation,Good for depression but gives me some restlessness,good for depression but gives me some restlessness
Bupropion,Depression,Good for depression and energy but causes some insomnia and dry mouth,good for depression and energy but causes some insomnia and dry mouth
Bupropion,Depression,Improves my mood but I have trouble sleeping,improves my mood but i have trouble sleeping
Bupropion,Depression,Effective for depression but can cause dry mouth and insomnia,effective for depression but can cause dry mouth and insomnia
Bupropion,Depression,Effective for depression but I occasionally feel jittery,effective for depression but i occasionally feel jittery
Bupropion,Depression,Works well for my depression but I had some issues with dry mouth,works well for my depression but i had some issues with dry mouth
Bupropion,Depression,Helps with depression but I experienced some insomnia and dry mouth,helps with depression but i experienced some insomnia and dry mouth
Bupropion,Depression,Helps with my depression but I had some mild headaches at first,helps with my depression but i had some mild headaches at first
Bupropion,Depression/Smoking Cessation,Helps with quitting smoking but I get very restless,helps with quitting smoking but i get very restless
Buspar,Anxiety,Great for managing anxiety but I feel dizzy at higher doses,great for managing anxiety but i feel dizzy at higher doses
Buspirone,Anxiety,Helps manage anxiety but I sometimes feel a little dizzy,helps manage anxiety but i sometimes feel a little dizzy
Buspirone,Anxiety,Helps with anxiety but I experienced mild dizziness and nausea,helps with anxiety but i experienced mild dizziness and nausea
Buspirone,Anxiety,Good for longterm anxiety relief but takes time to work,good for longterm anxiety relief but takes time to work
Buspirone,Anxiety,Helps reduce my anxiety but causes dizziness,helps reduce my anxiety but causes dizziness
Buspirone,Anxiety,Helps with anxiety without making me sleepy but I noticed some dizziness,helps with anxiety without making me sleepy but i noticed some dizziness
Buspirone,Anxiety,Helps with anxiety but I occasionally feel lightheaded,helps with anxiety but i occasionally feel lightheaded
Buspirone,Anxiety,Calms my anxiety but I feel lightheaded sometimes,calms my anxiety but i feel lightheaded sometimes
